Ferro electric thin film material,Film thickness (nm),Substrate material,Remnant polarization,Coercive field,Article Title,Source Title,DOI,mpid,formula,space_group,crystal_system,a,b,c,alpha,beta,gamma,volume,density,band_gap,formation_energy,energy_above_hull
ZrO2,,Nb:SrTiO3,20.2,1500,Wake-up Free Ferroelectric Rhombohedral Phase in Epitaxially Strained ZrO2 Thin Films,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.1c15875,mp-1245318,ZrO2,P1,Triclinic,10.437354379858,9.986001923809350,11.271598365462900,91.07085305324770,95.4361182536331,93.91097622082890,1166.4283524718200,5.262636308408360,2.9114,-3.590938117111110,0.222679637888887
Bi7Ti4NbO21,,platinized Si,5.65,127,Ferroelectric properties of bismuth titanate niobate Bi7Ti4NbO21 thin film,THIN SOLID FILMS,10.1016/S0040-6090(00)00654-4,mp-1217566,Ti4Nb(BiO3)7,C2,Monoclinic,29.771150697724700,29.771150697724700,5.455498484722820,84.90524345203480,84.90524345203480,10.629047755953500,888.3198788135520,7.788356158845880,2.178900000000000,-2.473127291010100,0.029014842575758000
SrBi2Ta2O9,,Pt/TiO2/SiO2/Si,12,140,Highly a-oriented SrBi2Ta2O9 thin film on (111) Pt/TiO2/SiO2/Si substrate by eclipse pulsed laser deposition,THIN SOLID FILMS,10.1016/j.tsf.2008.11.131,mp-554675,SrTa2Bi2O9,I4/mmm,Tetragonal,12.88926010521210,12.88926010521210,12.88926010521210,162.43201051905100,162.43201051905100,24.944205836485600,195.03203960702600,8.6118536180181,2.012,-2.813450842119050,0.024446373214285000
HfO2,10,,20,1200,Mixed Al and Si doping in ferroelectric HfO2 thin films,APPLIED PHYSICS LETTERS,10.1063/1.4937588,mp-1244883,HfO2,P1,Triclinic,10.994877239299200,10.86933980337990,11.135480148996400,92.29869496641970,90.80401808788060,93.76473825497250,1326.6428296090900,8.957833639278320,3.7691,-3.790489710490200,0.229321330343136
ZrO2,250,,20.15,1180,Robust ferroelectric and low coercive field in ZrO2 thin film through wide chemical-processing window,NANO TODAY,10.1016/j.nantod.2024.102470,mp-1245318,ZrO2,P1,Triclinic,10.437354379858,9.986001923809350,11.271598365462900,91.07085305324770,95.4361182536331,93.91097622082890,1166.4283524718200,5.262636308408360,2.9114,-3.590938117111110,0.222679637888887
Pb5Ge3O11 (PGO),,Pt-coated Si,4,100,"Preparation, ferroelectric and electrical properties of lead germanate Pb5Ge3O11 thin films prepared by sol-gel methods",JOURNAL OF THE KOREAN PHYSICAL SOCIETY,,mp-557340,Ge3Pb5O11,P3,Trigonal,10.435670584124500,10.435670584124500,10.899195,90.0,90.0,120.00000370319900,1027.93525511909,6.929698297816670,2.501,-1.842273302631580,0.0
Bi4Ti3O12,500,,1.9,15,O-2 GAS-PRESSURE EFFECTS ON SURFACE-MORPHOLOGY IN FERROELECTRIC BI4TI3O12 THIN-FILMS FABRICATED BY SPIN-COATING PYROLYSIS,JAPANESE JOURNAL OF APPLIED PHYSICS PART 2-LETTERS & EXPRESS LETTERS,10.1143/JJAP.33.L1707,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
Bi5FeTi3O15 (BFTO),,strontium ruthanate coated amorphous fused silica,20,250,"Optical, ferroelectric, and piezoresponse force microscopy studies of pulsed laser deposited Aurivillius Bi5FeTi3O15 thin films",JOURNAL OF APPLIED PHYSICS,10.1063/1.4897556,mp-1217452,Ti3Fe(BiO3)5,P2_1,Monoclinic,5.534428,5.486071,20.9611352741514,82.48065682049980,90.0,90.0,630.9547363151060,7.812930962283890,2.0168,-2.360028226666670,0.013427247031259
BiFeO3,,,82.2,680,"Structural and electrical properties of chemical solution deposited (Bi0.9Tb0.1)(Fe0.975TM0.025)O3±δ(TM=Ni, Mn and Ti) thin films",JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,10.1007/s10971-013-2982-0,mp-551451,FeBiO3,P1,Triclinic,5.430644,5.458528411681670,5.524043330056890,66.90638248766580,67.50512893589980,65.21539056092890,132.00542267882300,3.935109620597320,1.6259000000000000,-1.236482167000000,0.43792711700000000
Bi4Ti3O12,,Pt sheet,7.5,72,Laser ablation preparation and property of bismuth-layer-structured SrBi2Ta2O9 and Bi4Ti3O12 ferroelectric thin films,INTEGRATED FERROELECTRICS,10.1080/10584589608013065,mp-1179025,Ti3(BiO3)4,C2/m,Monoclinic,3.864694375720030,3.864694375720030,16.978874726609200,84.22256089428060,84.22256089428060,88.83345502699920,251.01098852038200,7.750047518997610,1.542,-2.509956527894740,0.041130956447370000
